rsz;ido mp;osszeg euro;fizetesi mod
YZA-369;2606;144.82;csekk
ABC-123;2920;46.94;készpénz
BCD-741;4448;53.75;utalás
JKL-321;2223;32.58;kártya
BCD-741;3591;5.31;-
VWX-258;5347;16.23;csekk
YZA-369;5849;43.58;-
STU-147;3566;71.21;-
DEF-456;4727;144.42;csekk
YZA-369;3011;49.56;csekk
VWX-258;6623;85.15;készpénz
GHI-789;6880;98.79;készpénz
GHI-789;3879;138.97;utalás
PQR-987;5571;57.11;utalás
VWX-258;7123;113.14;-
ABC-123;2818;15.62;csekk
YZA-369;5630;72.40;készpénz
GHI-789;533;76.61;készpénz
PQR-987;5041;33.15;-
STU-147;4704;87.01;csekk
DEF-456;1832;136.79;készpénz
DEF-456;2955;10.74;utalás
JKL-321;3876;28.95;-
VWX-258;7054;83.16;kártya
DEF-456;891;83.76;csekk
DEF-456;6886;64.64;csekk
ABC-123;827;117.67;csekk
JKL-321;3908;91.76;készpénz
DEF-456;6125;30.92;készpénz
VWX-258;3458;115.61;utalás
GHI-789;4938;131.30;-
VWX-258;1591;21.59;csekk
JKL-321;1914;116.20;-
MNO-654;3042;22.21;csekk
MNO-654;1023;57.65;-
GHI-789;2834;71.00;-
VWX-258;2736;39.40;utalás
PQR-987;1369;57.44;készpénz
MNO-654;2598;127.11;utalás
ABC-123;4665;124.33;készpénz
GHI-789;2429;54.63;utalás
JKL-321;2023;121.06;utalás
BCD-741;6459;30.62;-
PQR-987;3089;54.21;-
DEF-456;6768;71.14;utalás
YZA-369;6596;69.65;-
BCD-741;2231;70.40;készpénz
ABC-123;1481;55.70;utalás
STU-147;4640;124.58;csekk
DEF-456;6533;30.09;utalás
GHI-789;595;60.26;-
DEF-456;935;30.79;-
GHI-789;3842;109.15;-
DEF-456;4098;137.52;-
PQR-987;3451;138.33;kártya
YZA-369;3958;27.05;készpénz
JKL-321;342;12.58;csekk
GHI-789;1093;13.20;-
ABC-123;4114;91.78;kártya
VWX-258;1843;130.88;készpénz
JKL-321;2143;19.45;csekk
VWX-258;1749;12.21;kártya
VWX-258;4410;105.74;készpénz
ABC-123;1830;102.90;csekk
MNO-654;4395;132.39;-
ABC-123;470;133.85;kártya
GHI-789;2575;57.78;kártya
PQR-987;1574;74.09;csekk
JKL-321;1653;129.75;csekk
YZA-369;893;54.62;csekk
DEF-456;6650;11.25;-
VWX-258;3978;108.44;készpénz
JKL-321;3407;97.59;készpénz
STU-147;6034;119.07;-
VWX-258;4892;140.33;készpénz
STU-147;3218;137.12;kártya
PQR-987;7096;42.36;készpénz
BCD-741;6284;98.98;készpénz
MNO-654;2352;68.86;csekk
PQR-987;4124;134.47;kártya
GHI-789;5137;89.22;készpénz
MNO-654;6752;33.43;csekk
YZA-369;321;137.64;csekk
DEF-456;6467;72.47;kártya
JKL-321;2522;127.52;kártya
STU-147;6620;8.26;kártya
VWX-258;2211;137.88;készpénz
VWX-258;5897;92.90;kártya
STU-147;7145;122.92;utalás
BCD-741;4048;118.76;kártya
MNO-654;2667;143.78;utalás
PQR-987;376;106.01;utalás
VWX-258;6022;63.47;-
PQR-987;2927;95.58;utalás
BCD-741;3478;147.65;-
BCD-741;2126;143.14;-
PQR-987;4078;79.24;készpénz
JKL-321;1545;93.23;csekk
BCD-741;4901;61.87;-
PQR-987;2297;32.41;utalás
